Quantifier,Percentage,A,B,Rtype
Most,3,kustle,reshix,Test-Most-3-kustle-reshix
Most,13,beckel,racual,Test-Most-13-beckel-racual
Most,12,puggle,entand,Test-Most-12-puggle-entand
Most,6,chadop,shaple,Test-Most-6-chadop-shaple
Most,18,chulk,vulhor,Test-Most-18-chulk-vulhor
Most,10,werner,hurmer,Test-Most-10-werner-hurmer
Most,20,mecket,plumry,Test-Most-20-mecket-plumry
Most,7,gukbar,soarse,Test-Most-7-gukbar-soarse
Most,17,clidge,hensly,Test-Most-17-clidge-hensly
Most,4,schook,jabant,Test-Most-4-schook-jabant
Most,11,spunge,wenple,Test-Most-11-spunge-wenple
Most,9,shrile,athoid,Test-Most-9-shrile-athoid
Most,26,cosut,spover,Test-Most-26-cosut-spover
Most,29,coamin,mucond,Test-Most-29-coamin-mucond
Most,28,shamer,bloif,Test-Most-28-shamer-bloif
Most,37,middor,drooty,Test-Most-37-middor-drooty
Most,46,ancit,smeath,Test-Most-46-ancit-smeath
Most,30,pengyl,sedest,Test-Most-30-pengyl-sedest
Most,42,hadder,ollidy,Test-Most-42-hadder-ollidy
Most,41,zetten,unfobs,Test-Most-41-zetten-unfobs
Most,34,fleeve,scalfs,Test-Most-34-fleeve-scalfs
Most,44,tiklet,hullaw,Test-Most-44-tiklet-hullaw
Most,33,shurrie,preser,Test-Most-33-shurrie-preser
Most,38,monter,melelt,Test-Most-38-monter-melelt
Most,70,strant,potind,Test-Most-70-strant-potind
Most,59,pluset,stubad,Test-Most-59-pluset-stubad
Most,53,umpond,marire,Test-Most-53-umpond-marire
Most,61,russer,huttle,Test-Most-61-russer-huttle
Most,67,cather,funder,Test-Most-67-cather-funder
Most,65,tecker,biller,Test-Most-65-tecker-biller
Most,55,birler,enciad,Test-Most-55-birler-enciad
Most,71,raster,movell,Test-Most-71-raster-movell
Most,66,menner,nandow,Test-Most-66-menner-nandow
Most,52,bamet,unzast,Test-Most-52-bamet-unzast
Most,68,pliper,sesare,Test-Most-68-pliper-sesare
Most,73,coppar,hunene,Test-Most-73-coppar-hunene
Most,92,sporer,firtly,Test-Most-92-sporer-firtly
Most,77,pirter,secent,Test-Most-77-pirter-secent
Most,99,pobbit,spippy,Test-Most-99-pobbit-spippy
Most,81,padnet,fanely,Test-Most-81-padnet-fanely
Most,94,boddle,molill,Test-Most-94-boddle-molill
Most,86,devole,sholly,Test-Most-86-devole-sholly
Most,88,jallem,sildal,Test-Most-88-jallem-sildal
Most,97,dorder,coggon,Test-Most-97-dorder-coggon
Most,93,puctor,recure,Test-Most-93-puctor-recure
Most,85,chevel,podden,Test-Most-85-chevel-podden
Most,84,awplor,fasees,Test-Most-84-awplor-fasees
Most,96,ingell,nalill,Test-Most-96-ingell-nalill
Some,19,kustle,reshix,Test-Some-19-kustle-reshix
Some,16,puggle,entand,Test-Some-16-puggle-entand
Some,4,chulk,vulhor,Test-Some-4-chulk-vulhor
Some,15,mecket,plumry,Test-Some-15-mecket-plumry
Some,13,clidge,hensly,Test-Some-13-clidge-hensly
Some,3,spunge,wenple,Test-Some-3-spunge-wenple
Some,43,cosut,spover,Test-Some-43-cosut-spover
Some,30,shamer,bloif,Test-Some-30-shamer-bloif
Some,32,ancit,smeath,Test-Some-32-ancit-smeath
Some,48,hadder,ollidy,Test-Some-48-hadder-ollidy
Some,44,fleeve,scalfs,Test-Some-44-fleeve-scalfs
Some,49,shurrie,preser,Test-Some-49-shurrie-preser
Some,52,strant,potind,Test-Some-52-strant-potind
Some,59,umpond,marire,Test-Some-59-umpond-marire
Some,71,cather,funder,Test-Some-71-cather-funder
Some,68,birler,enciad,Test-Some-68-birler-enciad
Some,61,menner,nandow,Test-Some-61-menner-nandow
Some,62,pliper,sesare,Test-Some-62-pliper-sesare
Some,90,sporer,firtly,Test-Some-90-sporer-firtly
Some,92,pobbit,spippy,Test-Some-92-pobbit-spippy
