Quantifier,Percentage,A,B,Rtype
More-than-half,3,kustled,chims,Test-More-than-half-3-kustled-chims
More-than-half,13,beckeled,racals,Test-More-than-half-13-beckeled-racals
More-than-half,12,puggled,entands,Test-More-than-half-12-puggled-entands
More-than-half,6,chadoped,shaples,Test-More-than-half-6-chadoped-shaples
More-than-half,18,chulked,vulhors,Test-More-than-half-18-chulked-vulhors
More-than-half,10,wernered,hurmers,Test-More-than-half-10-wernered-hurmers
More-than-half,20,mecketted,plumries,Test-More-than-half-20-mecketted-plumries
More-than-half,7,gukbared,soarses,Test-More-than-half-7-gukbared-soarses
More-than-half,17,clidged,henslies,Test-More-than-half-17-clidged-henslies
More-than-half,4,schoked,jabants,Test-More-than-half-4-schoked-jabants
More-than-half,11,spunged,wenples,Test-More-than-half-11-spunged-wenples
More-than-half,9,shriled,athoids,Test-More-than-half-9-shriled-athoids
More-than-half,26,cosued,spovers,Test-More-than-half-26-cosued-spovers
More-than-half,29,coamed,muconds,Test-More-than-half-29-coamed-muconds
More-than-half,28,shamered,bloives,Test-More-than-half-28-shamered-bloives
More-than-half,37,middored,drooties,Test-More-than-half-37-middored-drooties
More-than-half,46,ancitted,smets,Test-More-than-half-46-ancitted-smets
More-than-half,30,larred,dests,Test-More-than-half-30-larred-dests
More-than-half,42,haddered,ollidies,Test-More-than-half-42-haddered-ollidies
More-than-half,41,zettled,unfobs,Test-More-than-half-41-zettled-unfobs
More-than-half,34,fleeved,scalves,Test-More-than-half-34-fleeved-scalves
More-than-half,44,rikled,hullaws,Test-More-than-half-44-rikled-hullaws
More-than-half,33,shurried,presers,Test-More-than-half-33-shurried-presers
More-than-half,38,montered,melets,Test-More-than-half-38-montered-melets
More-than-half,70,stranted,potinds,Test-More-than-half-70-stranted-potinds
More-than-half,59,plettled,stubads,Test-More-than-half-59-plettled-stubads
More-than-half,53,umponded,marires,Test-More-than-half-53-umponded-marires
More-than-half,61,russered,huttles,Test-More-than-half-61-russered-huttles
More-than-half,67,cathered,funders,Test-More-than-half-67-cathered-funders
More-than-half,65,teckered,billers,Test-More-than-half-65-teckered-billers
More-than-half,55,bittled,enciads,Test-More-than-half-55-bittled-enciads
More-than-half,71,rastered,movels,Test-More-than-half-71-rastered-movels
More-than-half,66,mennered,nandows,Test-More-than-half-66-mennered-nandows
More-than-half,52,bamed,zats,Test-More-than-half-52-bamed-zats
More-than-half,68,plored,sesares,Test-More-than-half-68-plored-sesares
More-than-half,73,coppled,hunens,Test-More-than-half-73-coppled-hunens
More-than-half,92,spoamed,zillies,Test-More-than-half-92-spoamed-zillies
More-than-half,77,poared,nents,Test-More-than-half-77-poared-nents
More-than-half,99,pobbled,spippies,Test-More-than-half-99-pobbled-spippies
More-than-half,81,raddened,fanes,Test-More-than-half-81-raddened-fanes
More-than-half,94,boddled,molils,Test-More-than-half-94-boddled-molils
More-than-half,86,devoled,shollies,Test-More-than-half-86-devoled-shollies
More-than-half,88,jalled,sildals,Test-More-than-half-88-jalled-sildals
More-than-half,97,dordered,coggons,Test-More-than-half-97-dordered-coggons
More-than-half,93,puctored,recures,Test-More-than-half-93-puctored-recures
More-than-half,85,choved,poddens,Test-More-than-half-85-choved-poddens
More-than-half,84,awplored,nases,Test-More-than-half-84-awplored-nases
More-than-half,96,ingelled,nalils,Test-More-than-half-96-ingelled-nalils
Some,19,kustled,chims,Test-Some-19-kustled-chims
Some,16,puggled,entands,Test-Some-16-puggled-entands
Some,4,chulked,vulhors,Test-Some-4-chulked-vulhors
Some,15,mecketted,plumries,Test-Some-15-mecketted-plumries
