
#
# Results on Tuesday November 05 2019 22:42:12 UTC.
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36
# Design number was non-random = 1
#
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Field name.
# 9. Field value.
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,0,0,agreement,NULL,,yes
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,0,0,agreement,NULL,_REACTION_TIME_,2446
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,1,0,instructions1,NULL,,yes
1572993732,280ff30ca10f0671011cddbe166b762e,NewForm,1,0,instructions1,NULL,_REACTION_TIME_,6317
# Columns below this comment are as follows:
# 1. Time results were received.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Item number.
# 5. Element number.
# 6. Type.
# 7. Group.
# 8. Question (NULL if none).
# 9. Answer.
# 10. Whether or not answer was correct (NULL if N/A).
# 11. Time taken to answer.
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,5,0,practice-some,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'> 20% of the glerbs are fizda.</font></i></div></center><h2>Some of the glerbs are fizda.</h2></body>,True,NULL,2708
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,6,0,practice-all,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'> 82% of the thonks are crangly.</font></i></div></center><h2>All of the thonks are crangly.</h2></body>,False,NULL,3352
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,23,0,Test-More-than-half-46-ancit-smeath,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>46% of the ancits are smeath.</font></i></div></center><h2>It is not the case that more than half of the ancits are smeath.</h2></body>,False,NULL,6776
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,55,0,Test-Some-19-kustle-reshix,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>19% of the kustles are reshix.</font></i></div></center><h2>Some of the kustles are reshix.</h2></body>,True,NULL,4246
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,11,0,Test-More-than-half-18-chulk-vulhor,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>18% of the chulks are vulhor.</font></i></div></center><h2>It is not the case that more than half of the chulks are vulhor.</h2></body>,False,NULL,4226
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,131,0,Test-Some-Neg-64-tecker-biller,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>64% of the teckers are biller.</font></i></div></center><h2>It is not the case that some of the teckers are biller.</h2></body>,True,NULL,4368
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,143,0,Test-Some-Neg-79-devole-sholly,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>79% of the devoles are sholly.</font></i></div></center><h2>It is not the case that some of the devoles are sholly.</h2></body>,False,NULL,7595
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,40,0,Test-More-than-half-52-bamet-unzast,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>52% of the bamets are unzast.</font></i></div></center><h2>It is not the case that more than half of the bamets are unzast.</h2></body>,False,NULL,1160
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,127,0,Test-Some-Neg-51-pluset-stubad,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>51% of the plusets are stubad.</font></i></div></center><h2>It is not the case that some of the plusets are stubad.</h2></body>,True,NULL,669
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,37,0,Test-More-than-half-55-birler-enciad,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>55% of the birlers are enciad.</font></i></div></center><h2>It is not the case that more than half of the birlers are enciad.</h2></body>,True,NULL,744
1572993732,280ff30ca10f0671011cddbe166b762e,Question2,124,0,Test-All-Neg-37-tiklet-hullaw,NULL,<head><style>div {background-color: #dbd9d9; width: 300px; border: 7px solid #3FB8AF; padding: 20px; margin: 20px;}</style></head><body><center><div><i><font size='4'>37% of the tiklets are hullaw.</font></i></div></center><h2>It is not the case that all of the tiklets are hullaw.</h2></body>,True,NULL,853
